name;normal_prod;capacity;aggregates;turbine_type;station;height;Vattenf;mean_runoff;magasin;river;location;community;region;Lat;Long
Majenfors;44000;10900;4;3 Francis, 1 Kaplan;Ovanjordsanläggning;10.6;124;;;Lagan;Majenfors;Markaryds;Kronobergs;56.49710;13.45490
Huskvarna;42000;15000;2;Francis;Underjordsanläggning;116;16;;;Huskvarnaån;Huskvarna;Jönköpings;Jönköpings;57.78684;14.28378
Eldforsen;41000;8500;1;Kaplan;Ovanjordsanläggning;10;100;74;;Dalälven;Eldforsen;Vansbro;Dalarnas;60.43820;14.22900
Motala;41000;12000;3;Francis;Ovanjordsanläggning;15.3;105;41;;Motala Ström;Motala;Motala;Östergötlands;58.54698;15.07126
Karåsforsen;40000;12500;2;Francis;Ovanjordsanläggning;22.5;;;;Svartälven;Karlskoga;Karlskoga;Örebro;59.36778;14.59216
Malgomaj;40000;10000;1;Rörturbin;Ovanjordsanläggning;9;140;74;554;Ångermanälven;Vilhelmina;Vilhelminas;Västerbottens;64.64866;16.50788
Skogsforsen;38100;9000;2;kaplan;Ovanjordsanläggning;14;;;;Ätran;Ätran;Falkenbergs;Hallands;57.09436;12.86852
Skåpanäs;36176;11000;1;Kaplan;Ovanjordsanläggning;18;;;;Ätran;Skåpanäs;Svenljunga;Västra Götalands;57.18935;12.96748
Laholm;36000;11300;1;Kaplan;Ovanjordsanläggning;8;180;;;Lagan;Laholm;Laholms;Hallands;56.51567;13.04998
Ledinge;36000;10000;1;Francis;Underjordsanläggning;74;20;6.9;;Ledingsån;Långsele;Sollefteå;Västernorrlands;63.13913;16.86648
Tvärforsen;35800;9000;1;Francis;Underjordsanläggning;90;;12;;Svågan;Brännås;Hudiksvalls;Gävleborgs;62.08396;16.22398
Knäred övre;35000;7500;3;Francis;Ovanjordsanläggning;10;109;;;Lagan;Knäred;Laholms;Hallands;56.50717;13.35109
Kymmen;34000;55000;1;Francis;Underjordsanläggning, pumpkraftverk;88;77;;;Rottnan;Gräsmark;Sunne;Värmlands;59.92696;12.89611
